portfolio_name,sector_name,weight
OVERALL,Consumer Discretionary,0.1262509786861604
OVERALL,Consumer Staples,0.1672483890652762
OVERALL,Energy,0.011057073993648164
OVERALL,Financials,0.14318665899999272
OVERALL,Health Care,0.07083683860461865
OVERALL,Industrials,0.14551825208160307
OVERALL,Information Technology,0.17357806079672491
OVERALL,Materials,0.0179978887203206
OVERALL,Not Available,0.016060308126403532
OVERALL,Real Estate,0.03609752901855601
OVERALL,Utilities,0.027597753663517216
