yyyymmdd,portfolio,mkt_val,weight
2019-10-01,LPPI  GF BARON BNYMILTD BRZEX589145,20498602.15929964,0.0029827255441105265
2019-10-01,LPPI GEF BARON BNYMILTD,239949702.96365026,0.03491477627447479
2019-10-01,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-01,LPPI GEF FIRST EAGLE BNYMILTD,868034684.9375517,0.1263066236329955
2019-10-01,LPPI GEF INTERNAL EQUITY BNYMILTD,2928434097.292973,0.42611272311938136
2019-10-01,LPPI GEF INTRNL INCUBATOR BNYMILTD,11268973.365497563,0.0016397339902478087
2019-10-01,LPPI GEF MAGELLAN BNYMILTD,1042080841.3459147,0.15163185861922426
2019-10-01,LPPI GEF ROBECO BNYMILTD,1061249602.8573322,0.1544210807410424
2019-10-01,LPPI GEF WELLINGTON BNYMILTD,697955926.4018798,0.10155867966820138
2019-10-01,LPPI GF FT EGL BNYMILTD BRZEX650557,2967508.6411068123,0.0004317984103214782
2019-10-02,LPPI  GF BARON BNYMILTD BRZEX589145,20119695.298077114,0.0029473376533517043
2019-10-02,LPPI GEF BARON BNYMILTD,249197898.10736525,0.03650504330938521
2019-10-02,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-02,LPPI GEF FIRST EAGLE BNYMILTD,874638743.7095605,0.12812598124494412
2019-10-02,LPPI GEF INTERNAL EQUITY BNYMILTD,2859147330.113377,0.4188369882186301
2019-10-02,LPPI GEF INTRNL INCUBATOR BNYMILTD,11108428.444616165,0.0016272756092637942
2019-10-02,LPPI GEF MAGELLAN BNYMILTD,1022996358.8452477,0.14985891401419246
2019-10-02,LPPI GEF ROBECO BNYMILTD,1064636807.2104591,0.155958830516455
2019-10-02,LPPI GEF WELLINGTON BNYMILTD,721695453.4345772,0.10572129212929736
2019-10-02,LPPI GF FT EGL BNYMILTD BRZEX650557,2855736.2908146195,0.0004183373044802163
2019-10-03,LPPI  GF BARON BNYMILTD BRZEX589145,20712619.305671476,0.0030206304368776355
2019-10-03,LPPI GEF BARON BNYMILTD,285809825.56662905,0.041681153190936786
2019-10-03,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-03,LPPI GEF FIRST EAGLE BNYMILTD,851053989.9874351,0.12411368874424747
2019-10-03,LPPI GEF INTERNAL EQUITY BNYMILTD,2868565531.268524,0.41833802987704094
2019-10-03,LPPI GEF INTRNL INCUBATOR BNYMILTD,10796800.21981673,0.0015745542793776696
2019-10-03,LPPI GEF MAGELLAN BNYMILTD,1032223494.0945383,0.1505345923616909
2019-10-03,LPPI GEF ROBECO BNYMILTD,1061630510.5166148,0.15482317255289646
2019-10-03,LPPI GEF WELLINGTON BNYMILTD,723256612.4008236,0.10547632362908017
2019-10-03,LPPI GF FT EGL BNYMILTD BRZEX650557,3002393.911211796,0.0004378549278515999
2019-10-04,LPPI  GF BARON BNYMILTD BRZEX589145,21319632.913669065,0.0030510507092967707
2019-10-04,LPPI GEF BARON BNYMILTD,308206107.1586156,0.044107347704518136
2019-10-04,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-04,LPPI GEF FIRST EAGLE BNYMILTD,879246320.1917673,0.12582886017459072
2019-10-04,LPPI GEF INTERNAL EQUITY BNYMILTD,2912614934.010248,0.41682405585054605
2019-10-04,LPPI GEF INTRNL INCUBATOR BNYMILTD,11260750.534085073,0.0016115249752825813
2019-10-04,LPPI GEF MAGELLAN BNYMILTD,1046121700.2449251,0.1497103804961211
2019-10-04,LPPI GEF ROBECO BNYMILTD,1075461412.6406431,0.15390918404391224
