yyyymmdd,security,allocation,contribution
2020-01-01,Visa Inc,0.03684430718497441,0.04756600805304967
2020-01-01,Accenture PLC,0.028317503940590266,0.03834227653259633
2020-01-01,Alphabet Inc,0.05622675385209432,0.03745351468978285
2020-01-01,Starbucks Corp,0.025510661645949062,0.02666814391902295
2020-01-01,Apple Inc,0.01783322133580719,0.02499225517911948
2020-01-01,British American Tobacco PLC,0.030547187288098406,0.022976338240542765
2020-01-01,Texas Instruments Inc,0.015412567281271928,0.02222607106732132
2020-01-01,Morgan Stanley Liquidity Funds,0.0,0.022222117230832356
2020-01-01,Colgate-Palmolive Co,0.02852500486198816,0.021354813041974827
2020-01-01,Facebook Inc,0.013044025967506248,0.01969184857106023
2020-01-01,Microsoft Corp,0.013697502536671416,0.019469413640879257
2020-01-01,Alibaba Group Holding Ltd,0.015250996254591784,0.019256079480536186
2020-01-01,Moody's Corp,0.014739753863841845,0.01925336338492423
2020-01-01,3M Co,0.015540916352671401,0.017374173676699595
2020-01-01,Anheuser-Busch InBev SA/NV,0.017170563931144665,0.01680492349767384
2020-01-01,Automatic Data Processing Inc,0.013309619513963138,0.01669783722757628
2020-01-01,Rockwell Automation Inc,0.01416486091813437,0.016688938573379056
2020-01-01,AutoZone Inc,0.015407847743368036,0.01562016822732054
2020-01-01,Medtronic PLC,0.014628661150551352,0.015289029754041113
2020-01-01,PepsiCo Inc,0.02071863764197518,0.015157817625230269
2020-01-02,Visa Inc,0.034865579080657495,0.043607991576690104
2020-01-02,Accenture PLC,0.026292688636248517,0.03650062893853385
2020-01-02,Alphabet Inc,0.05347468209856407,0.03376530399868435
2020-01-02,Starbucks Corp,0.0241199127055251,0.02474130639667016
2020-01-02,Apple Inc,0.016969715545863,0.023053414430269738
2020-01-02,Texas Instruments Inc,0.014482174319240843,0.020785766629211458
2020-01-02,Morgan Stanley Liquidity Funds,0.0,0.020768373569147503
2020-01-02,British American Tobacco PLC,0.028478099873563482,0.020686325235338563
2020-01-02,Colgate-Palmolive Co,0.02626072043705736,0.019855020535260698
2020-01-02,Alibaba Group Holding Ltd,0.014701887179160114,0.018380913320881626
2020-01-02,Microsoft Corp,0.012979454770462485,0.01809966948985514
2020-01-02,Facebook Inc,0.012403370069834494,0.017557051040788235
2020-01-02,Moody's Corp,0.013962106312427577,0.017481591747505455
2020-01-02,3M Co,0.014751916377375825,0.016795917277265614
2020-01-02,Anheuser-Busch InBev SA/NV,0.01629595876261841,0.016160457163909604
2020-01-02,Rockwell Automation Inc,0.013371421342647814,0.015914023666998723
2020-01-02,Automatic Data Processing Inc,0.01236955389140341,0.01562791435145327
2020-01-02,Assa Abloy AB,0.012647929730547288,0.015439577846069913
2020-01-02,AutoZone Inc,0.014315825158930193,0.01529383908957532
2020-01-02,Kone Oyj,0.013399504658881062,0.014919007541665802
2020-01-03,Visa Inc,0.03244813966015161,0.04070488064179432
2020-01-03,Accenture PLC,0.02462474894653358,0.034294498545822755
2020-01-03,Alphabet Inc,0.04991101609342507,0.03161198186335737
2020-01-03,Nestle SA,0.031841827290878116,0.030410380863787743
2020-01-03,Starbucks Corp,0.02249580612454197,0.02315351611377929
2020-01-03,Apple Inc,0.015764943582449703,0.021477433259186687
2020-01-03,British American Tobacco PLC,0.027298532909032676,0.019868525300454222
2020-01-03,Morgan Stanley Liquidity Funds,0.0,0.019444803994853755
2020-01-03,Texas Instruments Inc,0.013405739249551313,0.019295040750199523
2020-01-03,Colgate-Palmolive Co,0.024599673797103497,0.018678960096436638
2020-01-03,Alibaba Group Holding Ltd,0.013618370171390183,0.017079030807413517
2020-01-03,Microsoft Corp,0.012024734520472648,0.01682007704068675
2020-01-03,Facebook Inc,0.011574343314102493,0.01643191078818011
2020-01-03,Moody's Corp,0.013065688907669591,0.01641534057662939
2020-01-03,3M Co,0.013719971606514532,0.01566710462597232
2020-01-03,Anheuser-Busch InBev SA/NV,0.015256784285961864,0.015161450260034202
2020-01-03,Cie Financiere Richemont SA,0.013563086255451948,0.015052898549541411
2020-01-03,Rockwell Automation Inc,0.012361064684439807,0.01475414432427985
2020-01-03,Automatic Data Processing Inc,0.01157966071140094,0.014677870712894435
2020-01-03,Assa Abloy AB,0.011750401424460143,0.01438780266719564
2020-01-06,Visa Inc,0.032314487684768,0.04107901122957793
2020-01-06,Accenture PLC,0.024415981340590285,0.03445671655241382
2020-01-06,Alphabet Inc,0.05109490532828918,0.03285309049922207
2020-01-06,Nestle SA,0.0319123903074234,0.030786167838890228
2020-01-06,Starbucks Corp,0.02227477350416453,0.023228961833998335
2020-01-06,Apple Inc,0.01585940561088281,0.02189784149484643
2020-01-06,British American Tobacco PLC,0.02741190015396721,0.02021178407368091
2020-01-06,Morgan Stanley Liquidity Funds,0.0,0.019641332121265516
2020-01-06,Texas Instruments Inc,0.013286315999907428,0.019369591282894272
2020-01-06,Colgate-Palmolive Co,0.024721084268968286,0.019024537251395062
2020-01-06,Alibaba Group Holding Ltd,0.013569119783030124,0.017229801667275495
2020-01-06,Facebook Inc,0.011769207841752534,0.01707441506922851
2020-01-06,Microsoft Corp,0.012032177734331979,0.01705755872454853
2020-01-06,Moody's Corp,0.013080631505903563,0.016655504535541637
2020-01-06,3M Co,0.013706115067774482,0.015850410129200097
2020-01-06,Anheuser-Busch InBev SA/NV,0.015255660621676099,0.015337327060040895
2020-01-06,Rockwell Automation Inc,0.012434845559115854,0.01503571343376871
2020-01-06,Cie Financiere Richemont SA,0.013366382488744315,0.014974841914620262
2020-01-06,Automatic Data Processing Inc,0.011572595640843987,0.014864336473939171
