portfolio_name,region,weight
LPPI  GF BARON BNYMILTD BRZEX589145,Not Available,0.16828656594016647
LPPI  GF BARON BNYMILTD BRZEX589145,South & Central America,0.8317134340598336
LPPI GEF BARON BNYMILTD,Africa / Middle East,0.061574462290403975
LPPI GEF BARON BNYMILTD,Asia Pacific,0.5990349865480805
LPPI GEF BARON BNYMILTD,Central Asia,0.18243430513096795
LPPI GEF BARON BNYMILTD,Eastern Europe,0.02952857850859822
LPPI GEF BARON BNYMILTD,North America,0.03850334197004723
LPPI GEF BARON BNYMILTD,Not Available,0.010861465523550044
LPPI GEF BARON BNYMILTD,South & Central America,0.07191761465921431
LPPI GEF BARON BNYMILTD,Western Europe,0.006145245369137863
LPPI GEF FIRST EAGLE BNYMILTD,Asia Pacific,0.21750088068041842
LPPI GEF FIRST EAGLE BNYMILTD,North America,0.4734430476525754
LPPI GEF FIRST EAGLE BNYMILTD,Not Available,0.11219441287695876
LPPI GEF FIRST EAGLE BNYMILTD,Western Europe,0.19686165879004752
LPPI GEF INTERNAL EQUITY BNYMILTD,North America,0.6307788979525313
LPPI GEF INTERNAL EQUITY BNYMILTD,Western Europe,0.3692211020474685
LPPI GEF INTRNL INCUBATOR BNYMILTD,North America,0.6912159227072887
LPPI GEF INTRNL INCUBATOR BNYMILTD,Western Europe,0.30878407729271096
LPPI GEF MAGELLAN BNYMILTD,Asia Pacific,0.06406752870869226
LPPI GEF MAGELLAN BNYMILTD,North America,0.6853171308369349
LPPI GEF MAGELLAN BNYMILTD,Western Europe,0.2506153404543729
LPPI GEF ROBECO BNYMILTD,Asia Pacific,0.15164380856363682
LPPI GEF ROBECO BNYMILTD,North America,0.6361817038230971
LPPI GEF ROBECO BNYMILTD,Not Available,0.004814607081514818
LPPI GEF ROBECO BNYMILTD,Western Europe,0.2073598805317511
LPPI GEF WELLINGTON BNYMILTD,Asia Pacific,0.11049671652029516
LPPI GEF WELLINGTON BNYMILTD,North America,0.7038756993075402
LPPI GEF WELLINGTON BNYMILTD,Western Europe,0.1856275841721644
LPPI GF FT EGL BNYMILTD BRZEX650557,South & Central America,1.0
OVERALL,Africa / Middle East,0.0029883451718309703
OVERALL,Asia Pacific,0.10075312676568873
OVERALL,Central Asia,0.008853941303510637
OVERALL,Eastern Europe,0.0014330873828995365
OVERALL,North America,0.5963665471589105
OVERALL,Not Available,0.016021241483636917
OVERALL,South & Central America,0.006489276576351438
OVERALL,Western Europe,0.2670944341571707
