yyyymmdd,portfolio,var_%_mv,cvar_%_mv,volatility_1yr,volatility_1yr_vs_msci
2020-01-01,LPPI  GF BARON BNYMILTD BRZEX589145,0.4299870421,0.5805332512,0.2575566823,
2020-01-01,LPPI GEF BARON BNYMILTD,0.2128791837,0.2892939136,0.12706277740000002,
2020-01-01,LPPI GEF CASH ONLY BNYMILTD,2.9e-09,4.1e-09,1.8e-09,
2020-01-01,LPPI GEF FIRST EAGLE BNYMILTD,0.1544027151,0.2079728931,0.0910585758,
2020-01-01,LPPI GEF INTERNAL EQUITY BNYMILTD,0.1992363603,0.2654629021,0.11526220370000001,
2020-01-01,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.21028729699999998,0.2828455902,0.1322110829,
2020-01-01,LPPI GEF MAGELLAN BNYMILTD,0.2065698602,0.2778508179,0.1211626329,
2020-01-01,LPPI GEF ROBECO BNYMILTD,0.1640616839,0.22324762639999998,0.0983925087,
2020-01-01,LPPI GEF WELLINGTON BNYMILTD,0.1890795662,0.2563657503,0.11525355250000001,
2020-01-01,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7446657716999999,0.9862442078,0.4577004707,
2020-01-01,OVERALL,0.1802691514,0.24139276259999998,0.10550217440000001,0.11391012160000001
2020-01-02,LPPI  GF BARON BNYMILTD BRZEX589145,0.4285522968,0.5801460655,0.2579219224,
2020-01-02,LPPI GEF BARON BNYMILTD,0.21341928159999998,0.29006627770000004,0.1276689158,
2020-01-02,LPPI GEF CASH ONLY BNYMILTD,2.9e-09,4.1e-09,1.8e-09,
2020-01-02,LPPI GEF FIRST EAGLE BNYMILTD,0.1542871332,0.2078081333,0.09108890239999999,
2020-01-02,LPPI GEF INTERNAL EQUITY BNYMILTD,0.199129282,0.26534812599999996,0.11538207959999999,
2020-01-02,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2101710082,0.2826158678,0.1323131403,
2020-01-02,LPPI GEF MAGELLAN BNYMILTD,0.206724997,0.2781101478,0.1214819737,
2020-01-02,LPPI GEF ROBECO BNYMILTD,0.1638787145,0.2230128477,0.0984343219,
2020-01-02,LPPI GEF WELLINGTON BNYMILTD,0.1887843947,0.2560467775,0.1153209589,
2020-01-02,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7441594499,0.9855697243999999,0.4576951436,
2020-01-02,OVERALL,0.180328392,0.24139475619999998,0.10565699170000001,0.1141411283
2020-01-03,LPPI  GF BARON BNYMILTD BRZEX589145,0.430204227,0.5818355946,0.2576824649,
2020-01-03,LPPI GEF BARON BNYMILTD,0.2137640226,0.291451486,0.12793554869999998,
2020-01-03,LPPI GEF CASH ONLY BNYMILTD,2.5e-09,3.4e-09,1.5e-09,
2020-01-03,LPPI GEF FIRST EAGLE BNYMILTD,0.154000229,0.2075295065,0.0909856617,
2020-01-03,LPPI GEF INTERNAL EQUITY BNYMILTD,0.19898694819999999,0.2653595386,0.11530141929999999,
2020-01-03,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2110051745,0.2831960529,0.1324471106,
2020-01-03,LPPI GEF MAGELLAN BNYMILTD,0.2073879611,0.2786509921,0.12154575660000001,
2020-01-03,LPPI GEF ROBECO BNYMILTD,0.1637249223,0.2230881664,0.0985189461,
2020-01-03,LPPI GEF WELLINGTON BNYMILTD,0.1888365877,0.2562355878,0.11543758309999999,
2020-01-03,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7459453385,0.9874571105,0.4576951436,
2020-01-03,OVERALL,0.180227631,0.24135308030000002,0.10560176560000001,0.11401008750000001
2020-01-08,LPPI  GF BARON BNYMILTD BRZEX589145,0.427841159,0.5806778358,0.2583875092,
2020-01-08,LPPI GEF BARON BNYMILTD,0.21432100729999998,0.2929058802,0.12822199709999998,
2020-01-08,LPPI GEF CASH ONLY BNYMILTD,2.5e-09,3.4e-09,1.5e-09,
2020-01-08,LPPI GEF FIRST EAGLE BNYMILTD,0.1529278086,0.2072745055,0.0907024842,
2020-01-08,LPPI GEF INTERNAL EQUITY BNYMILTD,0.19783074280000001,0.26438516409999996,0.1155839778,
2020-01-08,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.21042517260000002,0.28237191370000003,0.1327056811,
2020-01-08,LPPI GEF MAGELLAN BNYMILTD,0.2089791458,0.2802863797,0.1231548606,
2020-01-08,LPPI GEF ROBECO BNYMILTD,0.1647108559,0.2228385773,0.0983992039,
2020-01-08,LPPI GEF WELLINGTON BNYMILTD,0.1886553031,0.2548749501,0.1152235048,
