yyyymmdd,ticker,stock_name,close,per_change
20100104,ACN,Accenture PLC,33.87122344970703,
20100105,ACN,Accenture PLC,34.08055114746094,0.00618010442004624
20100106,ACN,Accenture PLC,34.4428596496582,0.010630946096781502
20100107,ACN,Accenture PLC,34.4106559753418,-0.0009349884023560628
20100108,ACN,Accenture PLC,34.27378463745117,-0.003977585838198072
20100111,ACN,Accenture PLC,34.24158477783203,-0.0009394894657753783
20100112,ACN,Accenture PLC,34.02419662475586,-0.006348659224934883
20100113,ACN,Accenture PLC,34.4106559753418,0.011358368129837038
20100114,ACN,Accenture PLC,34.71660232543945,0.008891035100199618
20100115,ACN,Accenture PLC,34.46701431274414,-0.007189298375331554
20100119,ACN,Accenture PLC,35.22382354736328,0.02195749326448948
20100120,ACN,Accenture PLC,35.03059387207031,-0.005485766615686782
20100121,ACN,Accenture PLC,34.692447662353516,-0.00965288259033481
20100122,ACN,Accenture PLC,33.95978927612305,-0.021118670938444994
20100125,ACN,Accenture PLC,33.718265533447266,-0.007112050687711258
20100126,ACN,Accenture PLC,33.67799758911133,-0.0011942472039669916
20100127,ACN,Accenture PLC,33.75851058959961,0.0023906706530056887
20100128,ACN,Accenture PLC,33.24323654174805,-0.015263530258065039
20100129,ACN,Accenture PLC,33.001708984375,-0.007265464572612457
20100201,ACN,Accenture PLC,33.162723541259766,0.004878976326983642
20100202,ACN,Accenture PLC,33.508914947509766,0.010439172941247854
20100203,ACN,Accenture PLC,33.492820739746094,-0.0004802962969371327
20100204,ACN,Accenture PLC,32.69575881958008,-0.02379799319858833
20100205,ACN,Accenture PLC,32.639400482177734,-0.0017237201226415477
20100208,ACN,Accenture PLC,32.34150314331055,-0.009126924345005949
20100209,ACN,Accenture PLC,32.39787292480469,0.0017429549036220848
20100210,ACN,Accenture PLC,32.22074890136719,-0.005467149767782731
20100211,ACN,Accenture PLC,32.422019958496094,0.006246628771573004
20100212,ACN,Accenture PLC,32.599143981933594,0.005463077984167564
20100216,ACN,Accenture PLC,32.880943298339844,0.008644377796006575
20100217,ACN,Accenture PLC,32.84067916870117,-0.001224543020963309
20100218,ACN,Accenture PLC,33.259334564208984,0.012748073611912769
20100219,ACN,Accenture PLC,32.905086517333984,-0.010651086424808165
20100222,ACN,Accenture PLC,32.76821517944336,-0.004159579942709546
20100223,ACN,Accenture PLC,32.41396713256836,-0.010810721454772243
20100224,ACN,Accenture PLC,32.4300651550293,0.0004966384520321832
20100225,ACN,Accenture PLC,32.00336837768555,-0.013157444343819824
20100226,ACN,Accenture PLC,32.180484771728516,0.005534304762946807
20100301,ACN,Accenture PLC,32.277095794677734,0.003002161826788141
20100302,ACN,Accenture PLC,32.68769836425781,0.012721174550275993
20100303,ACN,Accenture PLC,32.71990203857422,0.0009851924708048632
20100304,ACN,Accenture PLC,32.93729019165039,0.00664391210034454
20100305,ACN,Accenture PLC,33.15467071533203,0.006599830235480164
20100308,ACN,Accenture PLC,33.3801155090332,0.00679978985877594
20100309,ACN,Accenture PLC,33.86317825317383,0.014471571975534392
20100310,ACN,Accenture PLC,33.86317825317383,0.0
20100311,ACN,Accenture PLC,33.81487274169922,-0.001426490777488687
20100312,ACN,Accenture PLC,33.91148376464844,0.0028570571206107953
20100315,ACN,Accenture PLC,34.21742630004883,0.0090217973806066
20100316,ACN,Accenture PLC,33.81487274169922,-0.01176457734780112
20100317,ACN,Accenture PLC,34.00810241699219,0.0057143398636743115
20100318,ACN,Accenture PLC,34.04029846191406,0.0009467168890255895
20100319,ACN,Accenture PLC,33.86317825317383,-0.0052032507569933495
20100322,ACN,Accenture PLC,34.161067962646484,0.008796862103300551
20100323,ACN,Accenture PLC,34.13691711425781,-0.0007069699464630208
20100324,ACN,Accenture PLC,33.64580535888672,-0.014386529214906019
20100325,ACN,Accenture PLC,33.42841339111328,-0.006461190791975491
20100326,ACN,Accenture PLC,34.13691711425781,0.021194656020763425
20100329,ACN,Accenture PLC,34.056400299072266,-0.0023586434274674994
