yyyymmdd,security_name,positions,mkt_val_gbp
20191015,Accenture PLC,1061355.0,155214972.23742864
20191015,Alphabet Inc,180952.0,175840888.073825
20191015,Anheuser-Busch InBev SA/NV,1504888.0,108970617.94960302
20191015,Apple Inc,816235.0,150212262.61046377
20191015,British American Tobacco PLC,5628884.0,151811001.48000002
20191015,Colgate-Palmolive Co,2870296.0,153537378.9004458
20191015,Nestle SA,2661075.0,220762948.70790917
20191015,PepsiCo Inc,1168627.0,124594446.63329947
20191015,Starbucks Corp,2248104.0,151989200.59435365
20191015,Visa Inc,1528695.0,213696904.08227104
20191016,Accenture PLC,1061355.0,154314995.59694517
20191016,Alphabet Inc,180952.0,175323263.09226933
20191016,Anheuser-Busch InBev SA/NV,1504888.0,108627204.5556514
20191016,Apple Inc,816235.0,149081200.86502495
20191016,British American Tobacco PLC,5628884.0,151613990.54
20191016,Colgate-Palmolive Co,2870296.0,151768690.46134663
20191016,Nestle SA,2661075.0,221047630.40413535
20191016,PepsiCo Inc,1168627.0,124239475.7948878
20191016,Starbucks Corp,2248104.0,151911703.4289277
20191016,Visa Inc,1528695.0,211899142.49532422
20191017,Accenture PLC,1061355.0,153172356.0623691
20191017,Alphabet Inc,180952.0,175873385.85059345
20191017,Anheuser-Busch InBev SA/NV,1504888.0,108568033.13772869
20191017,Apple Inc,816235.0,148975076.25475138
20191017,British American Tobacco PLC,5628884.0,150966668.88
20191017,Colgate-Palmolive Co,2870296.0,151586185.46272594
20191017,Nestle SA,2661075.0,217215261.46356788
20191017,PepsiCo Inc,1168627.0,124160386.25397564
20191017,Starbucks Corp,2248104.0,150483976.54177338
20191017,Visa Inc,1528695.0,211012325.11054227
20191018,Accenture PLC,1061355.0,152925364.60258782
20191018,Alphabet Inc,180952.0,173494564.63339496
20191018,Anheuser-Busch InBev SA/NV,1504888.0,108182035.55632047
20191018,Apple Inc,816235.0,148618389.05576092
20191018,British American Tobacco PLC,5628884.0,149925325.34000003
20191018,Colgate-Palmolive Co,2870296.0,150389892.85274184
20191018,Nestle SA,2661075.0,214718352.11267608
20191018,PepsiCo Inc,1168627.0,122632030.76863833
20191018,Starbucks Corp,2248104.0,148955935.8595194
20191018,Visa Inc,1528695.0,206875383.89556375
20191021,Accenture PLC,1061355.0,153421485.8796296
20191021,Alphabet Inc,180952.0,173846727.3611111
20191021,Anheuser-Busch InBev SA/NV,1504888.0,108370580.40092918
20191021,Apple Inc,816235.0,151475833.2175926
20191021,British American Tobacco PLC,5628884.0,149052848.32
20191021,Colgate-Palmolive Co,2870296.0,151266370.9876543
20191021,Nestle SA,2661075.0,212477789.38718006
