yyyymmdd,portfolio_name,region,weight
20191001,LPPI  GF BARON BNYMILTD BRZEX589145,South & Central America,1.0
20191001,LPPI GEF BARON BNYMILTD,Africa / Middle East,0.08773078630850098
20191001,LPPI GEF BARON BNYMILTD,Asia Pacific,0.4566030280867509
20191001,LPPI GEF BARON BNYMILTD,Central Asia,0.24896437766129814
20191001,LPPI GEF BARON BNYMILTD,Eastern Europe,0.041549686785605014
20191001,LPPI GEF BARON BNYMILTD,North America,0.05389337675482074
20191001,LPPI GEF BARON BNYMILTD,South & Central America,0.09639627119980446
20191001,LPPI GEF BARON BNYMILTD,Western Europe,0.014862473203219866
20191001,LPPI GEF FIRST EAGLE BNYMILTD,Asia Pacific,0.206535608454802
20191001,LPPI GEF FIRST EAGLE BNYMILTD,North America,0.4822340739734584
20191001,LPPI GEF FIRST EAGLE BNYMILTD,Not Available,0.11588509331724184
20191001,LPPI GEF FIRST EAGLE BNYMILTD,Western Europe,0.1953452242544986
20191001,LPPI GEF INTERNAL EQUITY BNYMILTD,North America,0.6293785205074414
20191001,LPPI GEF INTERNAL EQUITY BNYMILTD,Western Europe,0.37062147949255886
20191001,LPPI GEF INTRNL INCUBATOR BNYMILTD,North America,0.6835326203138654
20191001,LPPI GEF INTRNL INCUBATOR BNYMILTD,Western Europe,0.3164673796861347
20191001,LPPI GEF MAGELLAN BNYMILTD,Asia Pacific,0.05941941987013926
20191001,LPPI GEF MAGELLAN BNYMILTD,North America,0.6977442024350988
20191001,LPPI GEF MAGELLAN BNYMILTD,Western Europe,0.24283637769476185
20191001,LPPI GEF ROBECO BNYMILTD,Asia Pacific,0.1336917275438235
20191001,LPPI GEF ROBECO BNYMILTD,North America,0.656501627548456
20191001,LPPI GEF ROBECO BNYMILTD,Not Available,0.0009789930408503217
20191001,LPPI GEF ROBECO BNYMILTD,Western Europe,0.20882765186687066
20191001,LPPI GEF WELLINGTON BNYMILTD,Asia Pacific,0.05824619920362821
20191001,LPPI GEF WELLINGTON BNYMILTD,North America,0.7613355398685975
20191001,LPPI GEF WELLINGTON BNYMILTD,Western Europe,0.18041826092777488
20191001,LPPI GF FT EGL BNYMILTD BRZEX650557,South & Central America,1.0
20191001,OVERALL,Africa / Middle East,0.0030631007763450703
20191001,OVERALL,Asia Pacific,0.07759911314906011
20191001,OVERALL,Central Asia,0.008692535546358082
20191001,OVERALL,Eastern Europe,0.0014506980183939021
20191001,OVERALL,North America,0.6165962130975278
